"Project";"Task";"Note";"Start date & time";"End date & time";"Start date";"Start time";"End date";"End time";"Duration";"Duration in hours";"Tags";
"Развитие";"Расслабление";"";"13 июл. 2020 г. 13:59:09";"14 июл. 2020 г. 13:59:09";"13 июл. 2020 г.";"13:59:09";"14 июл. 2020 г.";"13:59:09";"24:00";"24";"";
"Прочее";"Сборы";"";"17 сент. 2020 г. 22:33:01";"18 сент. 2020 г. 22:33:01";"17 сент. 2020 г.";"22:33:01";"18 сент. 2020 г.";"22:33:01";"24:00";"24";"";
"Здоровье";"Еда";"";"31 дек. 2020 г. 23:28:04";"1 янв. 2021 г. 00:23:02";"31 дек. 2020 г.";"23:28:04";"1 янв. 2021 г.";"00:23:02";"0:54";"0,92";"";
"Прочее";"Сборы";"";"1 янв. 2021 г. 00:23:02";"1 янв. 2021 г. 00:35:08";"1 янв. 2021 г.";"00:23:02";"1 янв. 2021 г.";"00:35:08";"0:12";"0,2";"";
"Общение";"Друзья";"";"1 янв. 2021 г. 00:35:08";"1 янв. 2021 г. 01:30:48";"1 янв. 2021 г.";"00:35:08";"1 янв. 2021 г.";"01:30:48";"0:55";"0,93";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 01:30:48";"1 янв. 2021 г. 02:16:40";"1 янв. 2021 г.";"01:30:48";"1 янв. 2021 г.";"02:16:40";"0:45";"0,76";"Фанфик";
"Прочее";"Сборы";"";"1 янв. 2021 г. 02:16:40";"1 янв. 2021 г. 02:23:02";"1 янв. 2021 г.";"02:16:40";"1 янв. 2021 г.";"02:23:02";"0:06";"0,11";"";
"Здоровье";"Гигиена";"";"1 янв. 2021 г. 02:23:02";"1 янв. 2021 г. 02:24:04";"1 янв. 2021 г.";"02:23:02";"1 янв. 2021 г.";"02:24:04";"0:01";"0,02";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 02:24:04";"1 янв. 2021 г. 02:39:34";"1 янв. 2021 г.";"02:24:04";"1 янв. 2021 г.";"02:39:34";"0:15";"0,26";"Фанфик";
"Сон";"";"";"1 янв. 2021 г. 02:39:34";"1 янв. 2021 г. 07:53:45";"1 янв. 2021 г.";"02:39:34";"1 янв. 2021 г.";"07:53:45";"5:14";"5,24";"";
"Уход за семьей";"Уборка / стирка";"";"1 янв. 2021 г. 07:53:45";"1 янв. 2021 г. 08:04:10";"1 янв. 2021 г.";"07:53:45";"1 янв. 2021 г.";"08:04:10";"0:10";"0,17";"";
"Общение";"Соцсети";"";"1 янв. 2021 г. 08:04:10";"1 янв. 2021 г. 08:05:12";"1 янв. 2021 г.";"08:04:10";"1 янв. 2021 г.";"08:05:12";"0:01";"0,02";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 08:05:12";"1 янв. 2021 г. 08:16:13";"1 янв. 2021 г.";"08:05:12";"1 янв. 2021 г.";"08:16:13";"0:11";"0,18";"";
"Общение";"Животные";"";"1 янв. 2021 г. 08:16:13";"1 янв. 2021 г. 08:19:18";"1 янв. 2021 г.";"08:16:13";"1 янв. 2021 г.";"08:19:18";"0:03";"0,05";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 08:19:18";"1 янв. 2021 г. 08:22:20";"1 янв. 2021 г.";"08:19:18";"1 янв. 2021 г.";"08:22:20";"0:03";"0,05";"";
"Сон";"";"";"1 янв. 2021 г. 08:22:20";"1 янв. 2021 г. 08:28:04";"1 янв. 2021 г.";"08:22:20";"1 янв. 2021 г.";"08:28:04";"0:05";"0,1";"";
"Уход за семьей";"Уборка / стирка";"";"1 янв. 2021 г. 08:28:04";"1 янв. 2021 г. 08:31:27";"1 янв. 2021 г.";"08:28:04";"1 янв. 2021 г.";"08:31:27";"0:03";"0,06";"";
"Здоровье";"Гигиена";"";"1 янв. 2021 г. 08:31:27";"1 янв. 2021 г. 08:38:40";"1 янв. 2021 г.";"08:31:27";"1 янв. 2021 г.";"08:38:40";"0:07";"0,12";"Чаша";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 08:38:40";"1 янв. 2021 г. 08:46:03";"1 янв. 2021 г.";"08:38:40";"1 янв. 2021 г.";"08:46:03";"0:07";"0,12";"";
"Сон";"";"";"1 янв. 2021 г. 08:46:03";"1 янв. 2021 г. 10:41:05";"1 янв. 2021 г.";"08:46:03";"1 янв. 2021 г.";"10:41:05";"1:55";"1,92";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 10:41:05";"1 янв. 2021 г. 11:37:22";"1 янв. 2021 г.";"10:41:05";"1 янв. 2021 г.";"11:37:22";"0:56";"0,94";"";
"Общение";"Соцсети";"";"1 янв. 2021 г. 11:37:22";"1 янв. 2021 г. 11:42:42";"1 янв. 2021 г.";"11:37:22";"1 янв. 2021 г.";"11:42:42";"0:05";"0,09";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 11:42:42";"1 янв. 2021 г. 11:47:05";"1 янв. 2021 г.";"11:42:42";"1 янв. 2021 г.";"11:47:05";"0:04";"0,07";"";
"Уход за семьей";"Организация";"";"1 янв. 2021 г. 11:47:05";"1 янв. 2021 г. 11:48:10";"1 янв. 2021 г.";"11:47:05";"1 янв. 2021 г.";"11:48:10";"0:01";"0,02";"";
"Прочее";"Сборы";"";"1 янв. 2021 г. 11:48:10";"1 янв. 2021 г. 11:54:52";"1 янв. 2021 г.";"11:48:10";"1 янв. 2021 г.";"11:54:52";"0:06";"0,11";"";
"Уход за семьей";"Готовка";"";"1 янв. 2021 г. 11:54:52";"1 янв. 2021 г. 11:56:09";"1 янв. 2021 г.";"11:54:52";"1 янв. 2021 г.";"11:56:09";"0:01";"0,02";"";
"Общение";"Семья";"";"1 янв. 2021 г. 11:56:09";"1 янв. 2021 г. 12:01:55";"1 янв. 2021 г.";"11:56:09";"1 янв. 2021 г.";"12:01:55";"0:05";"0,1";"Мама";
"Уход за семьей";"Готовка";"";"1 янв. 2021 г. 12:01:55";"1 янв. 2021 г. 12:08:47";"1 янв. 2021 г.";"12:01:55";"1 янв. 2021 г.";"12:08:47";"0:06";"0,11";"";
"Здоровье";"Еда";"";"1 янв. 2021 г. 12:08:47";"1 янв. 2021 г. 12:24:07";"1 янв. 2021 г.";"12:08:47";"1 янв. 2021 г.";"12:24:07";"0:15";"0,26";"";
"Прочее";"Сборы";"";"1 янв. 2021 г. 12:24:07";"1 янв. 2021 г. 12:25:28";"1 янв. 2021 г.";"12:24:07";"1 янв. 2021 г.";"12:25:28";"0:01";"0,02";"";
"Общение";"Соцсети";"";"1 янв. 2021 г. 12:25:28";"1 янв. 2021 г. 12:28:31";"1 янв. 2021 г.";"12:25:28";"1 янв. 2021 г.";"12:28:31";"0:03";"0,05";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 12:28:31";"1 янв. 2021 г. 14:45:40";"1 янв. 2021 г.";"12:28:31";"1 янв. 2021 г.";"14:45:40";"2:17";"2,29";"";
"Уход за семьей";"Организация";"";"1 янв. 2021 г. 14:45:40";"1 янв. 2021 г. 14:47:32";"1 янв. 2021 г.";"14:45:40";"1 янв. 2021 г.";"14:47:32";"0:01";"0,03";"";
"Общение";"Животные";"";"1 янв. 2021 г. 14:47:32";"1 янв. 2021 г. 14:49:36";"1 янв. 2021 г.";"14:47:32";"1 янв. 2021 г.";"14:49:36";"0:02";"0,03";"";
"Здоровье";"Гигиена";"";"1 янв. 2021 г. 14:49:36";"1 янв. 2021 г. 14:58:12";"1 янв. 2021 г.";"14:49:36";"1 янв. 2021 г.";"14:58:12";"0:08";"0,14";"";
"Уход за семьей";"Готовка";"";"1 янв. 2021 г. 14:58:12";"1 янв. 2021 г. 15:04:37";"1 янв. 2021 г.";"14:58:12";"1 янв. 2021 г.";"15:04:37";"0:06";"0,11";"";
"Здоровье";"Еда";"";"1 янв. 2021 г. 15:04:37";"1 янв. 2021 г. 15:17:05";"1 янв. 2021 г.";"15:04:37";"1 янв. 2021 г.";"15:17:05";"0:12";"0,21";"";
"Общение";"Соцсети";"";"1 янв. 2021 г. 15:17:05";"1 янв. 2021 г. 15:18:54";"1 янв. 2021 г.";"15:17:05";"1 янв. 2021 г.";"15:18:54";"0:01";"0,03";"";
"Развлечения";"Игры";"";"1 янв. 2021 г. 15:18:54";"1 янв. 2021 г. 15:44:48";"1 янв. 2021 г.";"15:18:54";"1 янв. 2021 г.";"15:44:48";"0:25";"0,43";"";
"Общение";"Соцсети";"";"1 янв. 2021 г. 15:44:48";"1 янв. 2021 г. 15:46:23";"1 янв. 2021 г.";"15:44:48";"1 янв. 2021 г.";"15:46:23";"0:01";"0,03";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 15:46:23";"1 янв. 2021 г. 16:17:51";"1 янв. 2021 г.";"15:46:23";"1 янв. 2021 г.";"16:17:51";"0:31";"0,52";"";
"Развлечения";"ТВ";"";"1 янв. 2021 г. 16:17:51";"1 янв. 2021 г. 16:33:39";"1 янв. 2021 г.";"16:17:51";"1 янв. 2021 г.";"16:33:39";"0:15";"0,26";"";
"Прочее";"Сборы";"";"1 янв. 2021 г. 16:33:39";"1 янв. 2021 г. 16:34:42";"1 янв. 2021 г.";"16:33:39";"1 янв. 2021 г.";"16:34:42";"0:01";"0,02";"";
"Общение";"Животные";"";"1 янв. 2021 г. 16:34:42";"1 янв. 2021 г. 16:47:22";"1 янв. 2021 г.";"16:34:42";"1 янв. 2021 г.";"16:47:22";"0:12";"0,21";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 16:47:22";"1 янв. 2021 г. 18:40:23";"1 янв. 2021 г.";"16:47:22";"1 янв. 2021 г.";"18:40:23";"1:53";"1,88";"";
"Общение";"Семья";"";"1 янв. 2021 г. 18:40:23";"1 янв. 2021 г. 18:46:19";"1 янв. 2021 г.";"18:40:23";"1 янв. 2021 г.";"18:46:19";"0:05";"0,1";"";
"Здоровье";"Еда";"";"1 янв. 2021 г. 18:46:19";"1 янв. 2021 г. 18:58:18";"1 янв. 2021 г.";"18:46:19";"1 янв. 2021 г.";"18:58:18";"0:11";"0,2";"";
"Общение";"Друзья";"";"1 янв. 2021 г. 18:58:18";"1 янв. 2021 г. 19:03:23";"1 янв. 2021 г.";"18:58:18";"1 янв. 2021 г.";"19:03:23";"0:05";"0,08";"";
"Здоровье";"Гигиена";"";"1 янв. 2021 г. 19:03:23";"1 янв. 2021 г. 19:04:59";"1 янв. 2021 г.";"19:03:23";"1 янв. 2021 г.";"19:04:59";"0:01";"0,03";"";
"Уход за семьей";"Уборка / стирка";"";"1 янв. 2021 г. 19:04:59";"1 янв. 2021 г. 19:28:40";"1 янв. 2021 г.";"19:04:59";"1 янв. 2021 г.";"19:28:40";"0:23";"0,39";"";
"Развитие";"Развивающее чтение/видео";"";"1 янв. 2021 г. 19:28:40";"1 янв. 2021 г. 20:20:09";"1 янв. 2021 г.";"19:28:40";"1 янв. 2021 г.";"20:20:09";"0:51";"0,86";"";
"Здоровье";"Гигиена";"";"1 янв. 2021 г. 20:20:09";"1 янв. 2021 г. 20:29:44";"1 янв. 2021 г.";"20:20:09";"1 янв. 2021 г.";"20:29:44";"0:09";"0,16";"";
"Уход за семьей";"Уборка / стирка";"";"1 янв. 2021 г. 20:29:44";"1 янв. 2021 г. 20:32:45";"1 янв. 2021 г.";"20:29:44";"1 янв. 2021 г.";"20:32:45";"0:03";"0,05";"";
"Уход за семьей";"Организация";"";"1 янв. 2021 г. 20:32:45";"1 янв. 2021 г. 20:39:40";"1 янв. 2021 г.";"20:32:45";"1 янв. 2021 г.";"20:39:40";"0:06";"0,12";"";
"Уход за семьей";"Готовка";"";"1 янв. 2021 г. 20:39:40";"1 янв. 2021 г. 20:41:55";"1 янв. 2021 г.";"20:39:40";"1 янв. 2021 г.";"20:41:55";"0:02";"0,04";"";
"Здоровье";"Еда";"";"1 янв. 2021 г. 20:41:55";"1 янв. 2021 г. 20:50:48";"1 янв. 2021 г.";"20:41:55";"1 янв. 2021 г.";"20:50:48";"0:08";"0,15";"";
"Здоровье";"Гигиена";"";"1 янв. 2021 г. 20:50:48";"1 янв. 2021 г. 20:53:00";"1 янв. 2021 г.";"20:50:48";"1 янв. 2021 г.";"20:53:00";"0:02";"0,04";"";
"Прочее";"Сборы";"";"1 янв. 2021 г. 20:53:00";"1 янв. 2021 г. 20:54:02";"1 янв. 2021 г.";"20:53:00";"1 янв. 2021 г.";"20:54:02";"0:01";"0,02";"";
"Уход за семьей";"Организация";"";"1 янв. 2021 г. 20:54:02";"1 янв. 2021 г. 20:59:00";"1 янв. 2021 г.";"20:54:02";"1 янв. 2021 г.";"20:59:00";"0:04";"0,08";"";
"Общение";"Животные";"";"1 янв. 2021 г. 20:59:00";"1 янв. 2021 г. 21:07:00";"1 янв. 2021 г.";"20:59:00";"1 янв. 2021 г.";"21:07:00";"0:08";"0,13";"";
"Общение";"Семья";"";"1 янв. 2021 г. 21:07:55";"1 янв. 2021 г. 21:10:11";"1 янв. 2021 г.";"21:07:55";"1 янв. 2021 г.";"21:10:11";"0:02";"0,04";"";
"Уход за семьей";"Организация";"";"1 янв. 2021 г. 21:10:11";"1 янв. 2021 г. 21:42:39";"1 янв. 2021 г.";"21:10:11";"1 янв. 2021 г.";"21:42:39";"0:32";"0,54";"";
"Развлечения";"Игры";"";"1 янв. 2021 г. 21:42:39";"1 янв. 2021 г. 22:12:45";"1 янв. 2021 г.";"21:42:39";"1 янв. 2021 г.";"22:12:45";"0:30";"0,5";"";
"Общение";"Животные";"";"1 янв. 2021 г. 22:12:45";"1 янв. 2021 г. 22:18:05";"1 янв. 2021 г.";"22:12:45";"1 янв. 2021 г.";"22:18:05";"0:05";"0,09";"";
"Развлечения";"Интернет";"";"1 янв. 2021 г. 22:18:05";"1 янв. 2021 г. 22:29:44";"1 янв. 2021 г.";"22:18:05";"1 янв. 2021 г.";"22:29:44";"0:11";"0,19";"";
"Прочее";"Сборы";"";"1 янв. 2021 г. 22:29:44";"1 янв. 2021 г. 22:32:54";"1 янв. 2021 г.";"22:29:44";"1 янв. 2021 г.";"22:32:54";"0:03";"0,05";"";
"Здоровье";"Гигиена";"";"1 янв. 2021 г. 22:32:54";"1 янв. 2021 г. 23:52:50";"1 янв. 2021 г.";"22:32:54";"1 янв. 2021 г.";"23:52:50";"1:19";"1,33";"Бритье|Ванна|Уход за кожей и/или волосами|Чистка зубов";
"Прочее";"Сборы";"";"1 янв. 2021 г. 23:52:50";"2 янв. 2021 г. 00:00:37";"1 янв. 2021 г.";"23:52:50";"2 янв. 2021 г.";"00:00:37";"0:07";"0,13";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 00:00:37";"2 янв. 2021 г. 00:05:38";"2 янв. 2021 г.";"00:00:37";"2 янв. 2021 г.";"00:05:38";"0:05";"0,08";"Уход за кожей и/или волосами";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 00:05:38";"2 янв. 2021 г. 00:42:53";"2 янв. 2021 г.";"00:05:38";"2 янв. 2021 г.";"00:42:53";"0:37";"0,62";"Фанфик";
"Сон";"";"";"2 янв. 2021 г. 00:42:53";"2 янв. 2021 г. 07:08:01";"2 янв. 2021 г.";"00:42:53";"2 янв. 2021 г.";"07:08:01";"6:25";"6,42";"";
